Paragraph Id: 32, Paragraph Length: 112, Execution Time: 14.729477
Paragraph Id: 33, Paragraph Length: 87, Execution Time: 5.859026
Paragraph Id: 34, Paragraph Length: 204, Execution Time: 5.099778
Paragraph Id: 35, Paragraph Length: 71, Execution Time: 1.267912
Paragraph Id: 36, Paragraph Length: 355, Execution Time: 8.991211
Paragraph Id: 37, Paragraph Length: 118, Execution Time: 2.655602
Paragraph Id: 38, Paragraph Length: 60, Execution Time: 1.773299
Paragraph Id: 39, Paragraph Length: 91, Execution Time: 2.369433
Paragraph Id: 40, Paragraph Length: 171, Execution Time: 0.169388
Paragraph Id: 41, Paragraph Length: 274, Execution Time: 0.155210
Paragraph Id: 42, Paragraph Length: 95, Execution Time: 0.063649
Paragraph Id: 43, Paragraph Length: 212, Execution Time: 0.125947
Paragraph Id: 44, Paragraph Length: 125, Execution Time: 0.070508
Paragraph Id: 45, Paragraph Length: 116, Execution Time: 0.074469
Paragraph Id: 46, Paragraph Length: 271, Execution Time: 0.151864
Paragraph Id: 47, Paragraph Length: 491, Execution Time: 0.234947
Paragraph Id: 48, Paragraph Length: 112, Execution Time: 13.904846
Paragraph Id: 49, Paragraph Length: 87, Execution Time: 2.924580
Paragraph Id: 50, Paragraph Length: 204, Execution Time: 6.761288
Paragraph Id: 51, Paragraph Length: 71, Execution Time: 2.341460
Paragraph Id: 52, Paragraph Length: 355, Execution Time: 10.869220
Paragraph Id: 53, Paragraph Length: 118, Execution Time: 2.610245
Paragraph Id: 54, Paragraph Length: 60, Execution Time: 1.345184
Paragraph Id: 55, Paragraph Length: 91, Execution Time: 2.494737
Paragraph Id: 56, Paragraph Length: 171, Execution Time: 4.396406
Paragraph Id: 57, Paragraph Length: 274, Execution Time: 6.918908
Paragraph Id: 58, Paragraph Length: 95, Execution Time: 1.967835
Paragraph Id: 59, Paragraph Length: 212, Execution Time: 4.863183
Paragraph Id: 60, Paragraph Length: 125, Execution Time: 2.264337
Paragraph Id: 61, Paragraph Length: 116, Execution Time: 3.212275
Paragraph Id: 62, Paragraph Length: 271, Execution Time: 6.158214
Paragraph Id: 63, Paragraph Length: 491, Execution Time: 8.133058
Paragraph Id: 64, Paragraph Length: 344, Execution Time: 6.793666
Paragraph Id: 65, Paragraph Length: 230, Execution Time: 5.099529
Paragraph Id: 66, Paragraph Length: 257, Execution Time: 5.317358
Paragraph Id: 67, Paragraph Length: 107, Execution Time: 2.598654
Paragraph Id: 68, Paragraph Length: 315, Execution Time: 5.307389
Paragraph Id: 69, Paragraph Length: 183, Execution Time: 4.767189
Paragraph Id: 70, Paragraph Length: 68, Execution Time: 1.409157
Paragraph Id: 71, Paragraph Length: 219, Execution Time: 5.319104
Paragraph Id: 72, Paragraph Length: 68, Execution Time: 1.593533
Paragraph Id: 73, Paragraph Length: 104, Execution Time: 2.546532
Paragraph Id: 74, Paragraph Length: 85, Execution Time: 1.999246
Paragraph Id: 75, Paragraph Length: 49, Execution Time: 1.580705
Paragraph Id: 76, Paragraph Length: 442, Execution Time: 6.632075
Paragraph Id: 77, Paragraph Length: 61, Execution Time: 1.662509
Paragraph Id: 78, Paragraph Length: 219, Execution Time: 4.831194
Paragraph Id: 79, Paragraph Length: 222, Execution Time: 5.766993
Paragraph Id: 80, Paragraph Length: 189, Execution Time: 4.117797
Paragraph Id: 81, Paragraph Length: 248, Execution Time: 8.877411
Paragraph Id: 82, Paragraph Length: 341, Execution Time: 7.613029
Paragraph Id: 83, Paragraph Length: 120, Execution Time: 3.280582
Paragraph Id: 84, Paragraph Length: 122, Execution Time: 2.599649
Paragraph Id: 85, Paragraph Length: 121, Execution Time: 3.087471
Paragraph Id: 86, Paragraph Length: 160, Execution Time: 4.016961
Paragraph Id: 87, Paragraph Length: 69, Execution Time: 1.921112
Paragraph Id: 88, Paragraph Length: 166, Execution Time: 4.222088
Paragraph Id: 89, Paragraph Length: 105, Execution Time: 2.971731
Paragraph Id: 90, Paragraph Length: 162, Execution Time: 4.643408
Paragraph Id: 91, Paragraph Length: 71, Execution Time: 1.487940
Paragraph Id: 92, Paragraph Length: 273, Execution Time: 6.548281
Paragraph Id: 93, Paragraph Length: 281, Execution Time: 4.416289
Paragraph Id: 94, Paragraph Length: 186, Execution Time: 3.825089
Paragraph Id: 95, Paragraph Length: 44, Execution Time: 1.167001
Paragraph Id: 96, Paragraph Length: 88, Execution Time: 2.128832
Paragraph Id: 97, Paragraph Length: 107, Execution Time: 3.458361
Paragraph Id: 98, Paragraph Length: 37, Execution Time: 1.085743
Paragraph Id: 99, Paragraph Length: 132, Execution Time: 3.234348
Paragraph Id: 100, Paragraph Length: 92, Execution Time: 1.668773
Paragraph Id: 101, Paragraph Length: 133, Execution Time: 2.837091
Paragraph Id: 102, Paragraph Length: 219, Execution Time: 4.740120
Paragraph Id: 103, Paragraph Length: 143, Execution Time: 3.164974
Paragraph Id: 104, Paragraph Length: 41, Execution Time: 1.062050
Paragraph Id: 105, Paragraph Length: 184, Execution Time: 5.122115
Paragraph Id: 106, Paragraph Length: 39, Execution Time: 1.274917
Paragraph Id: 107, Paragraph Length: 58, Execution Time: 1.404321
Paragraph Id: 108, Paragraph Length: 62, Execution Time: 1.478384
Paragraph Id: 109, Paragraph Length: 131, Execution Time: 3.410534
Paragraph Id: 110, Paragraph Length: 115, Execution Time: 3.099995
